Name,Team,PA,Single,Double,Triple,Home Run,BB,SO,InPlayOut,1B,2B,3B,In-Play Out,H,HR,SO,BB
Gerrit Cole,Yankees,801,0.1133333333,0.03770287141,0.003770287141,0.03370786517,0.06242197253,0.3495630462,0.3995006242,90.78,30.2,3.02,320,151,27,280,50
Jacob deGrom,Mets,744.9,0.1288763592,0.04027386226,0.004027386226,0.02819170358,0.05638340717,0.2993690428,0.4428782387,96,30,3,329.9,150,21,223,42
Stephen Strasburg,Nationals,756.1,0.1316757043,0.04020632192,0.004020632192,0.0251289512,0.06612881894,0.2922893797,0.4405501918,99.56,30.4,3.04,333.1,152,19,221,50
Lucas Giolito,White Sox,717,0.1126080893,0.03709902371,0.003709902371,0.03207810321,0.07810320781,0.3277545328,0.4086471409,80.74,26.6,2.66,293,133,23,235,56
Shane Bieber,Indians,805.1,0.1459694448,0.04570860763,0.004570860763,0.03229412495,0.04223077879,0.2645634083,0.4646627748,117.52,36.8,3.68,374.1,184,26,213,34
Max Scherzer,Nationals,693,0.1139393939,0.0380952381,0.00380952381,0.03463203463,0.05627705628,0.3405483405,0.4126984127,78.96,26.4,2.64,286,132,24,236,39
Chris Sale,Red Sox,660.1,0.1248295713,0.03938797152,0.003938797152,0.02878351765,0.05453719133,0.327223148,0.4212998031,82.4,26,2.6,278.1,130,19,216,36
Noah Syndergaard,Mets,779.1,0.1498138878,0.04466692337,0.004466692337,0.02438711334,0.05775895264,0.2528558593,0.4660505712,116.72,34.8,3.48,363.1,174,19,197,45
Jack Flaherty,Cardinals,769.1,0.1181640879,0.0379664543,0.00379664543,0.02990508386,0.07021193603,0.3068521649,0.4331036276,90.88,29.2,2.92,333.1,146,23,236,54
Luis Severino,Yankees,684.9,0.1307344138,0.04175792086,0.004175792086,0.03212147759,0.06278288801,0.2934734998,0.4349540079,89.54,28.6,2.86,297.9,143,22,201,43
Justin Verlander,Astros,756.9,0.1064077157,0.03778570485,0.003778570485,0.04095653323,0.05681067512,0.3210463734,0.4332144273,80.54,28.6,2.86,327.9,143,31,243,43
Trevor Bauer,Reds,808.9,0.1316355545,0.04104339226,0.004104339226,0.02843367536,0.08900976635,0.2744467796,0.4313264928,106.48,33.2,3.32,348.9,166,23,222,72
Aaron Nola,Phillies,814,0.1314987715,0.04127764128,0.004127764128,0.02948402948,0.07862407862,0.2616707617,0.4533169533,107.04,33.6,3.36,369,168,24,213,64
German Marquez,Rockies,752,0.1430851064,0.04521276596,0.004521276596,0.03324468085,0.05585106383,0.2526595745,0.4654255319,107.6,34,3.4,350,170,25,190,42
Mike Soroka,Braves,733,0.1510231924,0.04502046385,0.004502046385,0.02455661664,0.05457025921,0.210095498,0.5102319236,110.7,33,3.3,374,165,18,154,40
Walker Buehler,Dodgers,682.1,0.1255534379,0.04046327518,0.004046327518,0.03225333529,0.06010848849,0.2946781997,0.4428969359,85.64,27.6,2.76,302.1,138,22,201,41
